,NAME,STABREV,number_uninsured,percent_uninsured,RACECAT,race_category,time,state,highlight
1065,Hawaii,HI,88089,7.6,0,All Races,2013,15,0
1069,Idaho,ID,256305,18.8,0,All Races,2013,16,0
1073,Illinois,IL,1588326,14.6,0,All Races,2013,17,0
1077,Indiana,IN,887375,16.1,0,All Races,2013,18,0
1081,Iowa,IA,244164,9.6,0,All Races,2013,19,0
1085,Kansas,KS,341248,14.1,0,All Races,2013,20,0
1089,Kentucky,KY,615363,16.8,0,All Races,2013,21,0
1093,Louisiana,LA,746374,19.1,0,All Races,2013,22,0
1097,Maine,ME,143651,13.5,0,All Races,2013,23,0
1101,Maryland,MD,584728,11.7,0,All Races,2013,24,0
1105,Massachusetts,MA,238392,4.3,0,All Races,2013,25,2
1109,Michigan,MI,1059974,12.9,0,All Races,2013,26,0
1113,Minnesota,MN,433829,9.5,0,All Races,2013,27,0
1117,Mississippi,MS,498591,20.0,0,All Races,2013,28,0
1121,Missouri,MO,762811,15.3,0,All Races,2013,29,0
1125,Montana,MT,166184,20.0,0,All Races,2013,30,0
1129,Nebraska,NE,201766,12.9,0,All Races,2013,31,0
1133,Nevada,NV,551933,23.3,0,All Races,2013,32,0
1137,New Hampshire,NH,139569,12.8,0,All Races,2013,33,0
1141,New Jersey,NJ,1125246,15.0,0,All Races,2013,34,0
1145,New Mexico,NM,380445,21.9,0,All Races,2013,35,1
1149,New York,NY,2036206,12.4,0,All Races,2013,36,0
1153,North Carolina,NC,1491079,18.1,0,All Races,2013,37,0
1157,North Dakota,ND,73944,12.3,0,All Races,2013,38,0
1161,Ohio,OH,1248847,13.0,0,All Races,2013,39,0
1165,Oklahoma,OK,659369,20.6,0,All Races,2013,40,0
1169,Oregon,OR,560102,17.2,0,All Races,2013,41,0
1173,Pennsylvania,PA,1204620,11.6,0,All Races,2013,42,0
1177,Rhode Island,RI,118849,13.9,0,All Races,2013,44,0
1181,South Carolina,SC,729833,18.6,0,All Races,2013,45,0
1185,South Dakota,SD,89295,12.8,0,All Races,2013,46,0
1189,Tennessee,TN,878198,16.2,0,All Races,2013,47,0
1193,Texas,TX,5695879,24.8,0,All Races,2013,48,0
1197,Utah,UT,393334,15.3,0,All Races,2013,49,0
1201,Vermont,VT,43638,8.7,0,All Races,2013,50,0
1205,Virginia,VA,971264,14.0,0,All Races,2013,51,0
1209,Washington,WA,940952,15.9,0,All Races,2013,53,0
1213,West Virginia,WV,254261,17.1,0,All Races,2013,54,0
1217,Wisconsin,WI,505462,10.6,0,All Races,2013,55,0
1221,Wyoming,WY,77766,15.8,0,All Races,2013,56,0
